atp1 atp2 c12                    old_rc12               # >6  c12                    c12
CH   SM    3.421320847663108e-06  2.6605634662742835e-06 # >6  0.0                    3.421320847663108e-06
CH   SH   2.448580108078591e-06  2.6605634662742835e-06 # >6  0.0                    2.448580108078591e-06
CH   H    7.225302986991769e-08  4.8757952426321354e-08 # >6  1.0115434594394737e-07 7.225302986991769e-08
CH1  CH1  6.309156472163408e-05  6.555622223139519e-05  # >6  0.00021557010233386615 6.309156472163408e-05
CH1  CH1t 4.8569470248707706e-05 6.555622223139519e-05  # >6  0.00020331351930370572 4.8569470248707706e-05
CH1  CAH  3.473598766179243e-05  6.555622223139519e-05  # 4-5 3.473598766179243e-05  5.187980929466614e-05
CH1  CH2  2.6382245451254078e-05 3.181351786802196e-05  # >6  0.0001806952059302513  2.6382245451254078e-05
CH1  CAH2 2.1373642831810142e-05 3.181351786802196e-05  # >6  3.473598766179243e-05  2.1373642831810142e-05
CH1  CH3  1.4922176228398963e-05 2.3737898549049355e-05 # >6  0.0001916987884126441  1.4922176228398963e-05
CH1  CH2r 2.2936907742668513e-05 2.797690277700976e-05  # Manual 2.448580108078591e-06  2.2936907742668513e-05
CH1  S    1.1964957655417957e-05 1.3363407780104616e-05 # >6  0.0                    1.1964957655417957e-05
CH1  SM    1.1964957655417957e-05 1.3363407780104616e-05 # >6  0.0                    1.1964957655417957e-05
CH1  SH   8.20374377950018e-06   1.3363407780104616e-05 # >6  0.0                    8.20374377950018e-06
CH1  H    1.736919907132888e-07  2.44900153315381e-07   # 4-5 1.736919907132888e-07  1.0161170406288952e-06
CH1t CH1t 2.6382245451254078e-05 6.555622223139519e-05  # >6  0.00015106392932930527 2.6382245451254078e-05
CH1t CAH  2.4604350727657302e-05 6.555622223139519e-05  # 4-5 2.4604350727657302e-05 3.7172653432882377e-05
CH1t CH2  1.9908604884064596e-05 3.181351786802196e-05  # >6  0.00013386004153335797 1.9908604884064596e-05
CH1t CAH2 1.2884910181278791e-05 3.181351786802196e-05  # >6  2.6382245451254078e-05 1.2884910181278791e-05
CH1t CH3  1.110557678004124e-05  2.3737898549049355e-05 # >6  0.00015106392932930527 1.110557678004124e-05
CH1t CH2r 1.4922176228398963e-05 2.797690277700976e-05  # Manual 1.3319957855440268e-06 1.4922176228398963e-05
CH1t S    7.596342311330096e-06  1.3363407780104616e-05 # >6  0.0                    7.596342311330096e-06
CH1t SM    7.596342311330096e-06  1.3363407780104616e-05 # >6  0.0                    7.596342311330096e-06
CH1t SH   5.131884534481803e-06  1.3363407780104616e-05 # >6  0.0                    5.131884534481803e-06
CH1t H    1.1292692029579082e-07 2.44900153315381e-07   # 4-5 1.1292692029579082e-07 1.9297259151556835e-07
CAH  CAH  8.68129884517691e-05   6.555622223139519e-05  # >6  0.0                    8.68129884517691e-05
CAH  CH2  2.6382245451254078e-05 3.181351786802196e-05  # >6  2.827720357903463e-05  2.6382245451254078e-05
CAH  CAH2 3.0296190868820765e-05 3.181351786802196e-05  # >6  0.0                    3.0296190868820765e-05
